,1,2,3,4,5
1,3.9625918586642603,3.962633200540868,3.9616357947330982,3.9616422423561777,3.9605614975016565
21,3.561655161634465,3.5584154401721406,3.5542065883229585,3.552770767513435,3.5553940763070067
41,2.4433583324696397,2.4612190120497597,2.4653571398489333,2.4626040088944725,2.462988973711603
61,2.2307650513702866,2.222746116117386,2.2282847830828207,2.233019061974678,2.2240541206422892
81,2.145202444007488,2.14254635386946,2.141331239886264,2.146081287618302,2.141859544172431
101,2.1088007286835326,2.1034733690358376,2.0930149506761424,2.106725269987437,2.105861092900974
121,2.0855394815429533,2.0826704849898108,2.071958328469116,2.0822002739954155,2.078083827947419
141,2.0685821766549277,2.072895526668157,2.058322487634482,2.070241356032146,2.0654365171064835
161,2.063374345434891,2.0580078442575913,2.0532979218067062,2.056682505104775,2.055533410022541
181,2.0563193331093164,2.0570942435512047,2.0552323373794197,2.052804137071256,2.048674694923483
201,2.058763521420122,2.0557021679083998,2.0583846543933513,2.0528116029254355,2.0467970686060704
